block,config,seed,n_train_steps,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
stdp_regression_bisect,stdp_only_n200000,8,200000,-0.00026223217719234526,-0.00018086866475641727,8.136351243592799e-05,0.21880429983139038,0.404541015625,11.84276355302427
stdp_regression_bisect,stdp_only_n200000,9,200000,-0.00026219317805953324,-0.00017858698265627027,8.360619540326297e-05,0.2587639093399048,0.4058837890625,11.673171025991905
stdp_regression_bisect,stdp_only_n200000,10,200000,-0.0002691989648155868,-0.00017659812874626368,9.260083606932312e-05,0.20736384391784668,0.3985595703125,11.742911673034541
stdp_regression_bisect,stdp_only_n200000,11,200000,-0.00026426458498463035,-0.0001888996921479702,7.536489283666015e-05,0.29566875100135803,0.4010009765625,13.016833331959788
stdp_regression_bisect,stdp_only_n200000,12,200000,-0.0002644306805450469,-0.00018487736815586686,7.955331238918006e-05,0.21201419830322266,0.39794921875,13.335758167027961
stdp_regression_bisect,stdp_only_n200000,13,200000,-0.0002580232103355229,-0.0001900102070067078,6.80130033288151e-05,0.27401167154312134,0.411865234375,12.531718255952
stdp_regression_bisect,stdp_only_n200000,14,200000,-0.00026159570552408695,-0.00018835437367670238,7.324133184738457e-05,0.2303657829761505,0.4049072265625,12.865155039005913
stdp_regression_bisect,stdp_only_n200000,15,200000,-0.00027670228155329823,-0.00018901324074249715,8.768904081080109e-05,0.22104015946388245,0.3956298828125,12.669722759979777
stdp_regression_bisect,stdp_only_n200000,16,200000,-0.00026537387748248875,-0.00018161209300160408,8.376178448088467e-05,0.2146923542022705,0.40087890625,12.756675128999632
stdp_regression_bisect,stdp_only_n200000,17,200000,-0.00024910378851927817,-0.00018432276556268334,6.478102295659482e-05,0.2663480043411255,0.4024658203125,12.276528679009061
stdp_regression_bisect,stdp_only_n200000,18,200000,-0.00025129641289822757,-0.00019118175259791315,6.0114660300314426e-05,0.24084651470184326,0.400634765625,13.136209452000912
stdp_regression_bisect,stdp_only_n200000,19,200000,-0.0002593408862594515,-0.00019762552983593196,6.171535642351955e-05,0.2392694354057312,0.4013671875,12.607572328008246
